Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3
321,AB2,(Ti.75Zr.25)1.05Mn.8Cr1.05V.05Cu.1,1.8,,30,3,"Park, 2001",1280,,,
322,AB2,(Ti.75Zr.25)1+xMn.8Cr1.2,1.85,,30,1.5 - 6,"Park, 2001",1280,x=0-0.15,,
323,AB2,(Ti.8Zr.2)1+xMn.8Cr1.2,1.8,,30,9-Mar,"Park, 2001",1280,x=0-0.15,,
324,AB2,Ca.25Mg.75Ni2,1.2,,,,"Oesterreicher, 1980",43,,,
325,AB2,Ca.5Mg.5Ni2,1.7,,,,"Oesterreicher, 1980",43,,,
326,AB2,CaAl1.8B.2 (M),0.7,,40,3,"Tanaka, 1995",416,,,
327,AB2,CaAl2,0.6,,,,"Beck, 1962",45,,,
328,AB2,CaAl2,2.1,,,,"Shaltiel, 1978",66,,,
329,AB2,CaMg2,5.4,,,,"Shaltiel, 1978",66,,,
330,AB2,CaNi2,2.1,85,25,0.05,"Oesterreicher, 1980",43,,,
331,AB2,Ce(Fe1-xAlx)2,0.5,,,,"Raj, 1992",1164,x=0.7-0.85,,
332,AB2,Ce(Fe1-xAlx)2,1.6,,,,"Raj, 1992",1164,x=0-0.1,(amorp),
333,AB2,CeAl1.25Cr.75,0.6,,21,0.05,"Gross, 1996",630,,,
334,AB2,CeAl1.5Co.5,1.1,,,,"Jacob, 1981",459,,,
335,AB2,CeCo1.5Al.5,1.8,,,,"Jacob, 1981",459,,,
336,AB2,CeCo1.5Ni.5,1.9,,,,"Jacob, 1981",459,,,
337,AB2,CeCo2,,,,,"Beck, 1962",45,,,
338,AB2,CeCo2,1.4,,,,"Burnasheva, 1977",520,,,
339,AB2,CeCo2,1.5,,50,5-Oct,"van Essen, 1980",355,,,
340,AB2,CeCo2,1.6,,,,"Guidotti, 1977",105,,,
341,AB2,CeCo2,1.6,,,,"Jacob, 1981",459,,,
342,AB2,CeCoAl,1.6,,,,"Jacob, 1981",459,,,
343,AB2,CeCoAl,,,,,"Kost, 1979",515,,,
344,AB2,CeFe2,,,,,"Beck, 1962",45,,,
345,AB2,CeFe2,1.3,,,,"Burnasheva, 1977",520,,,
346,AB2,CeFe2,1.6,,,,"Buschow, 1976",685,,,
347,AB2,CeMg2,3.1,101,216,0.1,"Verbetsky, 1989",1155,,,
348,AB2,CeMg2,3.2,,,,"Kost, 1979",515,,,
349,AB2,CeMg2,3.6,,,,"Gingl, 1997",650,,,
350,AB2,CeMn.5Al.75,0.6,,27,,"Spatz, 1997",823,,,
351,AB2,CeMn.5Al.75 (M),0.6,,27,,"Spatz, 1997",823,,,
352,AB2,CeMn1.5Al.5,1.3,,,,"Gross, 2000",1270,,Deuterium,
353,AB2,CeMnAl,0.9,,21,0.05,"Gross, 1996",630,,,
354,AB2,CeMnAl (M),1.1,,27,0.4,"Spatz, 1997",824,,,
355,AB2,CeNi2,,,,,"Beck, 1962",45,,,
356,AB2,CeNi2,1.3,,,,"Burnasheva, 1977",520,,,
357,AB2,CeNi2,1.5,,,,"Guidotti, 1977",105,,,
358,AB2,CeNi2,1.5,,50,5-Oct,"van Essen, 1980",355,,,
359,AB2,CeNi2-yAly,0.8,,,,"Jacob, 1981",459,(y = 0.2-1.6),,
360,AB2,CeNiAl,0.9,,,,"Bobet, 2001",1278,,,
361,AB2,CeNiCo,1.6,,,,"Jacob, 1981",459,,,
362,AB2,CeRu2,1.5,,200,,"Shaltiel, 1977",14,,,
363,AB2,Dy(Mn.99Fe.01)2,1.5,,,,"Przewoznik, 1999",1252,,,
364,AB2,DyCo2,1.2,,,,"Cohen, 1980",517,,,
365,AB2,DyCo2,1.3,,,,"Burnasheva, 1977",520,,,
366,AB2,DyFe2,1.2,,,,"Cohen, 1980",517,,,
367,AB2,DyFe2,1.3,,,,"Burnasheva, 1979",519,,,
368,AB2,DyFe2 (M),1.5,58,80,0.0001,"Kierstead, 1980",356,,,
369,AB2,DyFe2 (M),2.7,,21,0.03,"Pourarian, 1980",357,,,
370,AB2,DyMn2,0,,,,"Beck, 1962",45,,,
371,AB2,DyMn2,1.2,,,,"Cohen, 1980",517,,,
372,AB2,DyMn2,1.7,,,,"Przewoznik, 1996",525,,,
373,AB2,DyNi2,0.7,,,,"Cohen, 1980",517,,,
374,AB2,DyNi2,1.2,,,,"Burnasheva, 1979",519,,,
375,AB2,DyNiAl,,,,,"Kolomiets, 1997",651,,,
376,AB2,ErCo2,1.2,,,,"Burnasheva, 1979",519,,,
377,AB2,PrCo2,1.5,,,,"Burnasheva, 1979",519,,,
378,AB2,PrGa2,0.1,,,,"Beck, 1962",45,,,
379,AB2,PrNi2,1.5,,,,"Burnasheva, 1977",520,,,
380,AB2,Sc.5Y.5Fe2,1.5,,,,"Burnasheva, 1981",64,,,
381,AB2,ScCo2,1.3,,,,"Burnasheva, 1981",64,,,
382,AB2,ScFe2,1.9,,,,"Burnasheva, 1981",64,,,
383,AB2,ScFe2,2,,,,"Kost, 1979",515,,,
384,AB2,ScFe2,2,,140,1,"Shilov, 1981",530,,,
385,AB2,ScMn2,2.3,63,,,"Shilov, 1983",531,,,
386,AB2,ScMn2,2.4,,,,"Kost, 1979",515,,,
387,AB2,ScMn2,2.4,,140,1,"Shilov, 1981",530,,,
388,AB2,ScNi2,1.2,,,,"Burnasheva, 1981",64,,,
389,AB2,ScRu2,,,,,"Shaltiel, 1978",66,,,
390,AB2,SmCo2,1.2,,,,"Kost, 1979",515,,,
391,AB2,SmCo2,1.5,,40,0.01,"Kanematsu, 1989",558,,,
392,AB2,SmFe2,1.1,,,,"Burnasheva, 1977",520,,,
393,AB2,SmFe2,1.2,,,,"Kost, 1979",515,,,
394,AB2,SmFe2,1.5,,,,"Christodoulou, 1993",686,,,
395,AB2,SmMg2,0,,,,"Beck, 1962",45,,,
396,AB2,SmMg2,1.5,,,,"Shaltiel, 1978",66,,,
397,AB2,SmMn2,,,,,"Kost, 1979",515,,,
398,AB2,SmNi2,1.4,,,,"Burnasheva, 1977",520,,,
399,AB2,SmNi2,1.4,,,,"Kost, 1979",515,,,
400,AB2,SmNiAl,0.5,,,,"Kolomiets, 1997",825,,,
401,AB2,SmRu2,1.3,,,,"Shilov, 1978",510,,,
402,AB2,SmRu2,1.3,,,,"Kost, 1979",515,,,
403,AB2,Tb.27Dy.73Fe2,1.5,,200,0.15,"Manwaring, 1993",379,,,
404,AB2,TbCo2,1.2,,,,"Burnasheva, 1979",519,,,
405,AB2,TbNi2,1.1,,,,"Burnasheva, 1977",520,,,
406,AB2,TbNiAl,0.5,,,,"Yartys, 1998",1246,,,
407,AB2,TbNiAl,0.6,,,,"Kolomiets, 1997",651,,,
408,AB2,TbNiAl,0.6,,,,"Kolomiets, 1997",825,,,
409,AB2,Th1.5Ce.5Al,0.4,133,650,0.0003,"Van Vucht, 1963",492,,,
410,AB2,ThMn2,1,,,,"Beck, 1962",45,,,
411,AB2,ThNi2,0.6,,,,"Beck, 1962",45,,,
412,AB2,ThNi2,1.1,44.7,,,"Buschow, 1975",187,,,
413,AB2,ThRu2,1.1,,,,"Shaltiel, 1977",14,,,
414,AB2,ThZr2,0.5,413,910,0.08,"Bartscher, 1988",556,,,
415,AB2,Ti.25Zr.75Cr1.5Ni.5,1.4,,40,,"Bououdina, 1998",1249,,,No plateau
416,AB2,Ti.35Zr.65Ni1.2V.6Mn.2Cr.2,1.55,,,,"Lee, 1997",1179,,,
417,AB2,Ti.475Zr.475La.05Mn.8Cr.8Ni.4,1.8,,40,2,"Liu, 1995",415,,,
418,AB2,Ti.52Zr.48Ni1.01V.39Cr.22Mn.21Fe.19Al.19,1.4,,22,0.8,"Chuang, 1999",1254,,,sloping plateau
419,AB2,Ti.5Zr.5(Mn.5Cr.5)1-y,1.6,,40,Jan-60,"Liu, 1996",526,Niy (x=0-1.4),,
420,AB2,Ti.5Zr.5(Mn1-yFey)1.5,0.8,,100,Apr-70,"Komazaki, 1983",29,(y = 0.2-0.8),,
421,AB2,Ti.5Zr.5Cr1.5Ni.5,1.4,,40,2,"Bououdina, 1998",1249,,,sloping plateau
422,AB2,Ti.5Zr.5Mn.9Cr.9Ni.4,1.6,,40,3,"Liu, 1996",526,,,
423,AB2,Ti.5Zr.5Mn1.2Fe.3,1.9,39,120,1.5,"Komazaki, 1983",29,,,
424,AB2,Ti.5Zr.5Mn1.36Fe.34,1.5,,100,3,"Komazaki, 1983",29,,,
425,AB2,Ti.5Zr.5Mn2,1.8,40,70,1.5,"Gamo, 1979",34,,,
426,AB2,Ti.5Zr.5Ni1.3V.7B.2,1.4,,,,"Miyamura, 1993",372,"(B = Al, Cr, Fe, Mn)",,
427,AB2,Ti.5Zr.5V.5Mn.2Cr.2Ni.8+y,1.3,,,0.02 - 0.8,"Yu, 1998",1245,y=0-0.2,,sloping plateaux
428,AB2,Ti.5Zr.5V.5Ni1.3Zr.2,1.6,38.8,,,"Verbetsky, 1999",1282,,,No plateau
429,AB2,Ti.6Zr.4Mn1.4Cr.4Cu.2,1.8,48,20,0.3,"Gamo, 1979",35,,,
430,AB2,Ti.6Zr.4Mn1.5Cu.3Si.2,0.9,,20,11,"Au, 1995",860,,,
431,AB2,Ti.6Zr.4Mn1.6Cu.3Si.1,1.3,,20,1,"Au, 1995",860,,,
432,AB2,Ti.6Zr.4Mn1.9Cu.1,1.7,40.6,20,0.5,"Gamo, 1979",34,,,
433,AB2,Ti.6Zr.4NiV.6Mn.2+yFe.2,1.6,,30,0.4 - 3,"Gao, 1995",403,(y = 0-0.4),,
434,AB2,Ti.73Zr.27Mn1.25Cr.75Cu.1,1.7,,20,4,"Gamo, 1998",856,,,
435,AB2,Ti.75Zr.25Cr1.5Ni.5,1.7,,40,0.1,"Bououdina, 1998",1249,,,sloping plateau
436,AB2,Ti.75Zr.25CrNi,1.5,,40,1,"Bououdina, 1998",1249,,,sloping plateau
437,AB2,Ti.77Zr.23Mn.67Cr.67Cu.67,1.6,,30,8,"Zhan, 1995",627,,,
438,AB2,Ti.7Zr.3Mn1.9Mo.1,1.7,41,17,0.9,"Gamo, 1979",34,,,
439,AB2,Ti.8Zr.2Cr1.8,,23,0,3,"Andreev, 1984",684,,,
440,AB2,Ti.8Zr.2CrMn,,30,0,2,"Andreev, 1984",684,,,
441,AB2,Ti.8Zr.2Mn.6Ni1.4,1,,,,"Hsu, 2000",1276,,,No plateau
442,AB2,Ti.8Zr.2Mn.8Cr1.0Fe.2,1.8,28,20,12,"Gamo, 1979",35,,,
443,AB2,Ti.8Zr.2Mn1.2Cr.8,2,28.9,20,5,"Machida, 1978",371,,,
444,AB2,Ti.8Zr.2Mn1.2V.2Cr.6,1.9,30.5,20,2.2,"Gamo, 1979",35,,,
445,AB2,Ti.8Zr.2Mn1.4V.2Cr.4,1.9,29,20,9,"Gamo, 1980",31,,,
446,AB2,Ti.8Zr.2Mn1.5Cr.5,2,27.5,30,10,"Hong, 1993",373,,,
447,AB2,Ti.8Zr.2Mn1.5Cu.5,1.6,27,30,3,"Hong, 1993",373,,,
448,AB2,Ti.8Zr.2Mn1.5Fe.5,1.7,25.4,30,11,"Hong, 1993",373,,,
449,AB2,Ti.8Zr.2Mn1.5V.5,2,45.6,30,0.5,"Hong, 1993",373,,,
450,AB2,Ti.8Zr.2Mn1.6V.2Cr.2,1.9,30.5,20,2,"Gamo, 1979",35,,,
451,AB2,Ti.8Zr.2Mn1.7V.2Mo.1,2,35,14,1,"Gamo, 1979",35,,,
452,AB2,Ti.8Zr.2Mn1.8Mo.2,1.7,29,20,4,"Gamo, 1980",31,,,
453,AB2,Ti.8Zr.2Mn2-yMoy,1.65,,20,6-Feb,"Gamo, 1980",31,(y = 0.1-0.3),,
454,AB2,Ti.8Zr.2MnCr,1.8,,30,10,"Park, 2001",1280,,,
455,AB2,Ti.8Zr.2NiV.5Mn.5,1.7,,50,,"Lee, 1997",822,,,
456,AB2,Ti.8Zr.2V.5Mn.5-yCryNi.8,1.3,,,,"Yu, 1998",1245,y=0-0.5,,No plateaux
457,AB2,Ti.8Zr.2V.6Mn.2Pd.1Ni.8Fe.2,1.3,46.5,25,0.01,"Yang, 1999",1180,,,
458,AB2,Ti.8Zr.3Mn1.4La.05V.2Cr.2,1.8,,20,0.07,"Au, 1995",860,,,
459,AB2,Ti.8Zr.3Mn1.4Mo.05Cu.05V.2Cr.2,1.9,,20,0.18,"Au, 1995",860,,,
460,AB2,Ti.8Zr.3Mn1.4Mo.1V.1Cr.2,1.8,,20,0.07,"Au, 1995",860,,,
461,AB2,Ti.8Zr.3Mn1.5V.4Cr.2,1.2,,20,0.65,"Au, 1995",860,,,
462,AB2,Ti.8Zr.3Mn1.5V.4Cr.2,1.7,,20,0.43,"Au, 1995",860,,,
463,AB2,Ti.8Zr.3Mn1.6Cr.2Al.1,0.7,,20,3.4,"Au, 1995",860,,,
464,AB2,Ti.95Zr.05Cr1.2Mn.6Co.2,1.8,,20,65,"Hagstrom, 1999",1191,,,
465,AB2,Ti.95Zr.05Cr1.2Mn.75V.05,1.8,,20,36,"Hagstrom, 1999",1191,,,
466,AB2,Ti.95Zr.05Cr1.2Mn.7V.1,1.8,,20,26,"Hagstrom, 1999",1191,,,
467,AB2,Ti.95Zr.05Cr1.2Mn.8,1.7,21.9,20,5.5,"Hagstrom, 1998",1242,,,
468,AB2,TiV1.4Cr.6,3.7,,,,"Jacob, 1981",459,,,
469,AB2,TiV1.4Ni.6,2.9,28.8,60,0.4,"Chen, 1994",1163,,,
470,AB2,TiV1.5Fe.4Mn.1,3.3,,50,7,"Bernauer, 1987",610,,,
471,AB2,TiV1.6Co.4,3.1,,,,"Jacob, 1981",459,,,
472,AB2,TiV1.6Ni.4,3.3,33.2,120,1,"Chen, 1994",1163,,,
473,AB2,TiV1.8Ni.2,3.6,35.3,90,0.08,"Chen, 1994",1163,,,
474,AB2,TiV2-yFey,1.9,,,,"Jacob, 1981",459,(y = 0.2-0.8),,
475,AB2,TiV2-yMny,2.2,,,,"Jacob, 1981",459,(y = 0.4-1),,
476,AB2,TiVMn,2.4,,70,2,"Bernauer, 1989",344,,,
477,AB2,TixCr1.2Mn.8,1.8,25 - 26,-10,4.6 - 10,"Osumi, 1983",40,(x = 1.1-1.3),,
478,AB2,TmFe2,1.1,,,,"Burnasheva, 1979",519,,,
479,AB2,TmFe2,1.5,,,,"Gualtieri, 1976",516,,,
480,AB2,TmFe2 (M),1.6,56.8,80,0.003,"Kierstead, 1982",374,,,
481,AB2,TmNi2,1.25,,,,"Burnasheva, 1979",519,,,
482,AB2,TmNiAl,0.6,,,,"Kolomiets, 1997",825,,,
483,AB2,UMn2,0.16,,,,"Beck, 1962",45,,,
484,AB2,UNiAl (M),0.5,74.6,100,0.0003,"Yamanaka, 1999",1260,,,
485,AB2,UNiAl (M),0.7,,127,50,"Yamamoto, 1998",1241,,,
486,AB2,UTi2,1.9,,400,0.2,"Asada, 1995",628,,,
487,AB2,UZr2,1.5,,,,"Asada, 1995",628,,,
488,AB2,YbNi2,,,,,"Ensslen, 1983",385,,,
489,AB2,YCo2,1.7,,,,"Burnasheva, 1979",519,,,
490,AB2,YCo2,1.8,,25,0.05,"Shaltiel, 1977",14,,,
491,AB2,YCo2,2,,,,"van Essen, 1980",355,,,
492,AB2,YCo2,2,31,,,"van Mal, 1976",360,,,
493,AB2,YFe1.8Co.2,2,,,,"Fujii, 1983",59,,,
494,AB2,YFe2,,,,,"Beck, 1962",45,,,
495,AB2,YFe2,1.7,,,,"Burnasheva, 1977",520,,,
496,AB2,YFe2,1.8,,,,"Fujii, 1983",59,,,
497,AB2,YFe2,2,,,,"Buschow, 1975",518,,,
498,AB2,YFe2,2,,,,"Buschow, 1976",685,,,
499,AB2,YFe2,2.1,,50,5-Oct,"van Essen, 1980",355,,,
500,AB2,YFe2,2.1,,,,"van Mal, 1976",360,,,
501,AB2,YFe2,,,,,"Paul-Boncour, 2001",1279,,P=10 kbars,
502,AB2,YFe2 (M),,,200,0.008,"Paul-Boncour, 1997",819,,,
503,AB2,YFe2 (M),1.7,,100,0.01,"Paul-Boncour, 1997",648,,,
504,AB2,YFe2 (M),2.1,,20,0.001,"Kierstead, 1982",61,,,
505,AB2,YMg2,2.3,,,,"Kost, 1979",515,,,
506,AB2,YMn2,1.7,,,,"van Mal, 1976",360,,,
507,AB2,YMn2,2.1,,,,"Przewoznik, 1996",525,,,
508,AB2,YMn2,2.2,,,,"Latroche, 1998",1243,,,
509,AB2,YNi2,,,,,"Beck, 1962",45,,,
510,AB2,YNi2,1.7,,,,"van Essen, 1980",355,,,
511,AB2,YNi2,1.7,44,,,"van Mal, 1976",360,,,
512,AB2,YNi2,1.8,,,,"Burnasheva, 1977",520,,,
513,AB2,YNi2,1.8,,,,"Nakhl, 2001",1277,,,
514,AB2,YNiAl,0.7,,,,"Kolomiets, 1997",651,,,
515,AB2,YNiAl,0.7,,,,"Kolomiets, 1997",825,,,
516,AB2,YRu2,1.1,,200,,"Shaltiel, 1977",14,,,
517,AB2,Zr(B1-yCy)2,1.4,30 - 49,50,0.001 - 5,"Shaltiel, 1979",51,"(B = Fe, Co; C = V, Cr, Mn; y = 0.25-0.75)",,
518,AB2,Zr(Co1-yAly)2,0.2,,20,0.1 - 30,"Jacob, 1978",16,(y = 0-1),,
519,AB2,Zr(Cr1-yMo)y,1.4,,,,"Bououdina, 2000",1287,y=0-0.5,,
520,AB2,Zr(Cr1-yNiy)2,1.6,,23,2,"Drasner, 1990",561,(y=0.125-0.5),,
521,AB2,Zr(Cr1-yVy)2,1.9,,,,"Perevesenzew, 1988",557,(y=0.2-0.4),,
522,AB2,Zr(CryCu1-.5yNi1-.5y)2,1.4,,,,"Soubeyroux, 1995",623,(y=0.6-0.9),,
523,AB2,Zr(Fe.55Cr.55)2,1.5,,45,0.7,"Esayed, 1997",846,,,
524,AB2,Zr(Fe.75Cr.25)2,1.4,25.6,45,3,"Fang, 2000",1283,,,
525,AB2,Zr(Fe.75Cr.25)2,1.5,,45,2,"Esayed, 1997",846,,,
526,AB2,Zr(Fe1-yAly)2,0.1,,20,0.1 - 25,"Jacob, 1978",16,(y = 0-1),,
527,AB2,Zr(FeyCr1-y)2,1.2,,20,0.15 - 3,"Ivey, 1986",377,(y = 0.45-0.8),,
528,AB2,Zr(FeyCr1-y)2,1.4,,30,0.1 - 5,"Qian, 1989",376,(y = 0.5-0.8),,
529,AB2,Zr(FeyMn1-y)2,0.9,24 - 35,40,0.2 - 20,"Suzuki, 1983",30,(y = 0.5-0.8),,
530,AB2,Zr(FeyMn1-y)2,1,6.5 - 22,100,2.5 - 60,"Shitikov, 1984",552,(y = 0.3-0.9),,
531,AB2,Zr(Mn.2V.2Ni.6)2-y,1.65,,30,0.02 - 0.06,"Lee, 2000",1272,y=0.1-0.4,,
532,AB2,Zr(Mn.4Ni.6)1.9,1.7,,30,0.15,"Lee, 2000",1272,,,
533,AB2,Zr(Mn1-yNby)2.2,1.6,,200,0.6 - 3,"Kodama, 1996",584,(y=0-0.2),,
534,AB2,Zr(Mn1-yNby)2.9,1.2,,200,10-May,"Kodama, 1996",584,(y=0-0.2),,
535,AB2,Zr(Ni.6V.2Mn.2)2.4,1.6,39.9,30,0.3,"Gao, 1995",404,,,
536,AB2,Zr(Ni.6V.4)2.4,1.6,,,,"Gao, 1996",586,,,
537,AB2,Zr(V.2Mn.2Ni.6-yCoy)2.4,1.4,,30,0.3 - 2,"Gao, 1998",851,x=0-0.5,,
538,AB2,Zr(V1-xCrx)2,,,,,"Mendelsohn, 1981",21,,,
539,AB2,Zr.2Ho.8CoFe (M),3.3,16-Feb,27,9,"Kesavan, 1998",826,,,
540,AB2,Zr.2Ho.8Fe.5Co1.5,1.3,30-Oct,27,4,"Kesavan, 2000",1286,,,Sloping plateau
541,AB2,Zr.5Ti.5CrFe,1.8,27,23,4,"Yu, 1985",555,,,
542,AB2,Zr.5Ti.5Mn.4V.6Ni.85Al.15,1.6,,30,0.02,"Song, 2001",1238,,,sloping plateau
543,AB2,Zr.5Ti.5Mn.4V.6Ni.85Co.15,1.6,,30,0.15,"Song, 2001",1238,,,sloping plateau
544,AB2,Zr.5Ti.5Mn.4V.6Ni.85Cu.15,1.6,,30,0.07,"Song, 2001",1238,,,sloping plateau
545,AB2,Zr.5Ti.5Mn.4V.6Ni.85Fe.15,1.6,,30,0.1,"Song, 2001",1238,,,sloping plateau
546,AB2,Zr.5Ti.5Mn.4V.6Ni.85Mo.15,1.6,,30,0.04,"Song, 2001",1238,,,sloping plateau
547,AB2,Zr.5Ti.5Mn.4V.6Ni1-yFey,1.4,,30,0.1 - 0.3,"Song, 2000",1267,y=0-0.6,,Sloping plateaux
548,AB2,Zr.5Ti.5Mn1.2Fe.3,1.6,,150,3,"Suzuki, 1982",26,,,
549,AB2,Zr.65Ti.35(Mn.3V.14Cr.11Ni.43)1.76,1.7,,30,0.03,"Lee, 2000",1272,,,
550,AB2,Zr.65Ti.35NixV2-x-yMny,1.2,36 - 39,40,0.05 - 0.4,"Yang, 1995",402,"(x = 1.0-1.2, y = 0.2-0.4)",,
551,AB2,Zr.6Ho.4Co2,1,29.3,50,2,"Ramesh, 1993",363,,,
552,AB2,Zr.6Ti.4Mn2,1.7,,23,0.2,"Fujii, 1981",18,,,
553,AB2,Zr.75Ti.25Mn1.1Fe.9,,,23,0.9,"Pedziwiatr, 1983",28,,,
554,AB2,Zr.75Ti.25V1.7Fe.3,1.5,,,,"Jacob, 1981",459,,,
555,AB2,Zr.76Ti.24Ni1.16Mn.63V.14Fe.18,1.6,29.7,30,5,"Morii, 1995",410,,,
556,AB2,ZrCr2Fe.8,1.2,46.5,100,0.8,"Drasner, 1991",564,,,
557,AB2,ZrCr2Ni.8,1.4,37.9,100,1,"Drasner, 1991",564,,,
558,AB2,ZrCr2-ySiy,1,,200,1,"Drasner, 1993",583,(y=0.25-0.5),,
559,AB2,ZrCrCo.6V.4,1.6,,180,1,"Bououdina, 1996",585,,,
560,AB2,ZrCrCo.8V.2,2.2,,150,3,"Bououdina, 1997",649,,,
561,AB2,ZrCrFe,1.6,36,51,2,"Yu, 1985",555,,,
562,AB2,ZrCrFe1.2,1.4,34,120,7,"Ivanova, 1999",1259,,,calor.
563,AB2,ZrCrFe1.6,1.2,29.1,30,2.5,"Uchida, 1986",370,,,
564,AB2,ZrCrFe1.6,1.3,,23,2,"Wallace, 1985",1168,,,sloping plateau
565,AB2,ZrCrFe1.8,1.3,19,23,6,"Wallace, 1985",1168,,,sloping plateau
566,AB2,ZrCrFeCo.8,1.1,20,0,10,"Wallace, 1985",1168,,,sloping plateau
567,AB2,ZrCrFeCu.8,1.2,28,23,3,"Wallace, 1985",1168,,,
568,AB2,ZrCrFeMn.8,1.4,32,23,0.6,"Wallace, 1985",1168,,,sloping plateau
569,AB2,ZrCrFeNi.8,1.1,21,0,8,"Wallace, 1985",1168,,,sloping plateau
570,AB2,ZrCrNi,1.3,,,,"Visintin, 2001",1291,,at 80C,No plateau
571,AB2,ZrCrNi,1.4,,30,8,"Jung, 1998",1244,,,
572,AB2,ZrFe1.4Cr,1.7,21,23,1,"Sinha, 1985",554,,,
573,AB2,ZrFe1.4Cr.6,,,23,0.8,"Pedziwiatr, 1983",28,,,
574,AB2,ZrFe1.4Cr.6,1.45,,30,1,"Davidson, 2001",1288,,,
575,AB2,ZrFe1.4Cr.6,1.5,29.9,20,3,"Ivey, 1984",29,,,
576,AB2,ZrFe1.5Al.5,1,,20,0.1,"Jacob, 1978",16,,,
577,AB2,ZrFe1.5Cr,1.5,23,23,1.5,"Sinha, 1985",554,,,
578,AB2,ZrFe1.5Cr.5,1.4,24.3,50,5.5,"Shaltiel, 1977",14,,,
579,AB2,ZrFe1.5Cr.5,1.5,25.6,20,5,"Ivey, 1984",29,,,
580,AB2,ZrFe1.5V.5,1.6,32.2,50,0.25,"Shaltiel, 1977",14,,,
581,AB2,ZrFe1.6Al.4,1,36,24,10,"Fujii, 1982",22,,,
582,AB2,ZrFe2,0,,,,"Padurets, 1978",513,,,
583,AB2,ZrFe2,0.1,,,,"Shaltiel, 1977",14,,,
584,AB2,ZrFe2,0.1,,,,"Semenenko, 1980",638,,,
585,AB2,ZrFe2,0.15,,,,"Pebler, 1967",13,,,
586,AB2,ZrFeCr,1.7,49.4,50,0.1,"Shaltiel, 1977",14,,,
587,AB2,ZrFeMn,1.6,31,150,10,"Suzuki, 1982",27,,,
588,AB2,ZrFeMnCr.25,1.6,,45,0.5,"Sinha, 1985",554,,,
589,AB2,ZrFeMnNi.4,0.8,,23,5,"Sinha, 1985",554,,,
590,AB2,ZrFeMo,1.2,29.8,30,0.6,"Semenenko, 1980",638,,,
591,AB2,ZrFeV,1.6,48.1,50,0.0012,"Shaltiel, 1977",14,,,
592,AB2,ZrMn.5V.5Ni1.4,1.6,,30,0.2,"Kim, 1999",1264,,,Sloping plateau
593,AB2,ZrMn.6Ni1.4,0.9,,25,3.4,"Hsu, 2000",1276,,,
594,AB2,ZrMn.6V.2Co.1Ni1.2,1.6,,40,0.9,"Lai, 2000",1271,,,
595,AB2,ZrMn.6V.2Co.1Ni1.2,1.6,,25,0.5,"Hsu, 2000",1276,,,
596,AB2,ZrMn.6V.2Ni1.2,1.8,,25,0.14,"Hsu, 2000",1276,,,
597,AB2,ZrMn.8Ni1.2,1.7,,25,0.5,"Hsu, 2000",1276,,,
598,AB2,ZrMn1.11Fe1.22,1.3,29.4,30,2,"Uchida, 1986",370,,,
599,AB2,ZrMn1.11Fe1.22,1.5,13.3,100,5,"Sinha, 1983",23,,,
600,AB2,ZrMn1.22Fe1.11,1.5,13,23,1,"Sinha, 1983",23,,,
601,AB2,ZrMn1.22Fe1.14,1.2,31,40,2,"Uchida, 1986",370,,,
602,AB2,ZrMn1.2Fe0.4,1.5,33,50,0.4,"Shaltiel, 1977",14,(+ ZrMnFe),,
603,AB2,ZrMn1.52Co.4V0.08,1.2,,200,8,"Yonezu, 1991",563,,,
604,AB2,ZrMn1.53Fe1.27,1,9,23,4,"Sinha, 1983",23,,,
605,AB2,ZrMn1.6Co.4,1.3,,150,3,"Yonezu, 1991",563,,,
606,AB2,ZrMn1.8,1.2,,50,0.06,"van Essen, 1980",17,,,
607,AB2,ZrMn1.8,1.6,38.8,50,0.1,"Luo, 1992",582,,,
608,AB2,ZrMn1.8Co0.2,1.2,,200,6,"Fujitani, 1991",368,,,
609,AB2,ZrMn1.8Fe0.2,1.2,,200,8,"Fujitani, 1991",368,,,
610,AB2,ZrMn1.8Ni0.2 (M),1.1,,200,6,"Fujitani, 1991",368,,,
611,AB2,ZrMn1.8V0.2,1.3,,200,1,"Fujitani, 1991",368,,,
612,AB2,ZrMn2,,38,,,"Pedziwiatr, 1983",28,,,
613,AB2,ZrMn2,0.45,,,,"Pebler, 1967",13,,,
614,AB2,ZrMn2,1,,,,"Beck, 1962",45,,,
615,AB2,ZrMn2,1.4,,150,1,"Yonezu, 1991",563,,,
616,AB2,ZrMn2,1.5,36,210,3,"Fujii, 1987",369,,,
617,AB2,ZrMn2,1.5,,,,"Padurets, 1978",513,,,
618,AB2,ZrMn2,1.7,37.4,50,0.01,"Luo, 1992",582,,,
619,AB2,ZrMn2,1.8,53.2,80,0.03,"Shaltiel, 1977",14,,,
620,AB2,ZrMn2,1.9,,,,"Jacob, 1980",65,,,
621,AB2,ZrMn2.4,1.6,,50,0.7,"van Essen, 1980",17,,,
622,AB2,ZrMn2.5,1.4,32,50,0.07,"Luo, 1992",582,,,
623,AB2,ZrMn2.6Fe.2,1.4,15,100,0.12,"Pourarian, 1982",512,,,
